COORD,A0,E0,A4,E4
C4,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C3,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C2,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C1,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
C0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
B0,-79,-78,-77,-79
A0,-72,-83,-81,-91
A0,-72,-83,-81,-91
A0,-67,-83,-81,-91
A0,-67,-83,-81,-91
A0,-70,-83,-81,-91
A0,-70,-83,-81,-91
A0,-70,-83,-81,-91
A0,-72,-83,-81,-91
A0,-72,-83,-81,-91
A0,-80,-83,-81,-91
A0,-72,-83,-81,-91
A0,-72,-83,-81,-91
A0,-81,-83,-81,-91
A0,-78,-83,-81,-91
A0,-78,-83,-81,-91
A0,-74,-83,-81,-91
A0,-74,-83,-81,-91
A0,-76,-84,-81,-91
A0,-76,-84,-81,-91
A0,-76,-84,-81,-91
A1,-77,-82,-79,-91
A1,-77,-82,-79,-91
A1,-78,-82,-79,-91
A1,-78,-82,-79,-91
A1,-77,-82,-84,-91
A1,-77,-82,-84,-91
A1,-77,-82,-84,-91
A1,-81,-82,-84,-91
A1,-81,-82,-84,-91
A1,-80,-82,-84,-91
A1,-75,-82,-84,-91
A1,-75,-82,-84,-91
A1,-75,-82,-84,-91
A1,-80,-82,-84,-91
A1,-80,-82,-84,-91
A1,-85,-82,-84,-91
A1,-76,-82,-84,-91
A1,-81,-82,-84,-91
A1,-81,-82,-84,-91
A1,-81,-82,-84,-91
A2,-82,-83,-83,-82
A2,-84,-83,-83,-83
A2,-84,-83,-83,-83
A2,-82,-83,-83,-83
A2,-82,-83,-83,-83
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-83,-83,-83,-82
A2,-84,-83,-83,-81
A2,-84,-83,-83,-81
A2,-84,-83,-83,-80
A2,-84,-83,-83,-80
A2,-84,-83,-83,-80
A2,-84,-83,-83,-81
A2,-84,-83,-83,-81
A3,-80,-83,-81,-81
A3,-80,-83,-81,-81
A3,-80,-83,-81,-83
A3,-80,-83,-81,-85
A3,-80,-83,-81,-85
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-83
A3,-88,-83,-81,-84
A3,-88,-83,-81,-84
A3,-88,-83,-81,-84
A4,-80,-83,-75,-86
A4,-80,-83,-75,-86
A4,-80,-83,-77,-86
A4,-80,-83,-77,-86
A4,-80,-83,-77,-86
A4,-80,-83,-73,-86
A4,-80,-83,-73,-86
A4,-80,-83,-82,-84
A4,-80,-83,-80,-84
A4,-80,-83,-82,-84
A4,-80,-83,-82,-84
A4,-80,-83,-80,-84
A4,-80,-83,-80,-84
A4,-80,-83,-82,-84
A4,-80,-83,-82,-84
A4,-80,-83,-85,-84
A4,-80,-83,-83,-84
A4,-80,-83,-83,-84
A4,-80,-83,-82,-84
B1,-81,-79,-82,-75
B1,-81,-79,-82,-75
B1,-81,-79,-82,-75
B1,-81,-82,-82,-75
B1,-81,-83,-82,-75
B1,-81,-83,-82,-75
B1,-81,-83,-82,-75
B1,-81,-80,-82,-75
B1,-81,-81,-82,-75
B1,-81,-81,-82,-75
B1,-81,-81,-82,-75
B1,-81,-81,-82,-75
B1,-81,-81,-82,-75
B1,-81,-81,-82,-75
B1,-81,-82,-82,-75
B2,-80,-84,-82,-83
B2,-84,-84,-82,-83
B2,-84,-84,-82,-83
B2,-84,-75,-82,-79
B2,-84,-75,-82,-79
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
